,point,cell,grid,lat,lon,zscore(2021-6),zscore(2021-7),smad(2021-6),smad(2021-7)
1961,4985543,1359,Fibonacci (6.25 km),49.24929428100586,9.49468231201172,0.2872261776997398,0.8249097242112153,0.1969305759716375,0.37507948968588456
1962,4985632,1395,Fibonacci (6.25 km),49.25047302246094,11.303681373596191,2.1856473993522947,1.9304931272367893,3.154223558255582,1.2723548041170174
1963,4985687,1359,Fibonacci (6.25 km),49.25120162963867,8.37665843963623,1.0499105263345812,1.6319091949990245,1.0939822624783202,1.4729147308233526
1964,4985776,1395,Fibonacci (6.25 km),49.25238037109375,10.18565845489502,1.240110822381422,1.5961139832455806,0.9564665093468534,0.768942619914094
1965,4985831,1359,Fibonacci (6.25 km),49.25310897827149,7.258635520935059,0.646018926928659,1.5027271303286116,0.8073609401457298,1.2868099041946932
1966,4985865,1395,Fibonacci (6.25 km),49.25355911254883,11.994657516479492,1.4534430138994854,1.4447962392338392,1.1302361942077188,1.0541035323919357
1967,4985920,1359,Fibonacci (6.25 km),49.2542839050293,9.067635536193848,0.919048858436174,0.8360062133103267,0.6069910122279277,0.33750906638508144
1968,4986009,1395,Fibonacci (6.25 km),49.255462646484375,10.87663459777832,1.3167969537706792,2.1473725601244658,0.8445853543138613,1.4622777505629263
1969,4986064,1359,Fibonacci (6.25 km),49.25619125366211,7.949612140655518,1.2337043596320405,1.0531899044692352,1.4668619877920508,0.7979133516964029
1970,4986098,1395,Fibonacci (6.25 km),49.25664138793945,12.68563461303711,0.15984918955658867,1.6664858781159777,0.2417777269919731,1.1965693430400937
1971,4986153,1359,Fibonacci (6.25 km),49.25736999511719,9.758611679077148,0.18725525875244678,1.0167643480322692,0.3069407780192987,0.3751069149954374
1972,4986208,1359,Fibonacci (6.25 km),49.25809860229492,6.831588745117188,-1.1377905963559498,1.0356699601782913,-0.5596424361871051,0.6592149871142723
1973,4986242,1395,Fibonacci (6.25 km),49.258548736572266,11.56761074066162,2.1144660438283758,1.8180868057932658,2.026949517526557,0.9368672139997388
1974,4986297,1359,Fibonacci (6.25 km),49.25927734375,8.640588760375977,1.4525287055211615,0.9678795587095352,1.6564930289102555,0.5560358344197494
1975,4986386,1395,Fibonacci (6.25 km),49.26045608520508,10.44958782196045,1.3127067052340522,1.9314953846231984,1.089811230152622,1.1617704373646565
1976,4986441,1359,Fibonacci (6.25 km),49.26118087768555,7.5225653648376465,0.5237987135157884,1.3462468087613442,1.0433287312118096,0.8166295835358138
1977,4986475,1395,Fibonacci (6.25 km),49.26163101196289,12.258587837219238,1.3635275478230902,1.2235663841098363,0.8869132251280716,1.0008420820160153
1978,4986530,1359,Fibonacci (6.25 km),49.26235961914063,9.331564903259276,0.04775597907968921,0.7509457759689625,0.08447879129644094,0.27436252049195003
1979,4986619,1395,Fibonacci (6.25 km),49.2635383605957,11.14056396484375,1.3098116279877594,1.2366061215464152,1.5190871063750728,0.7642413514670241
1980,4986674,1359,Fibonacci (6.25 km),49.26426696777344,8.213541030883789,0.9125046150863404,1.399138744764151,1.0231501220247852,0.9279263800128174
1981,4986708,1395,Fibonacci (6.25 km),49.26471710205078,12.94956398010254,0.07674069725904044,1.1915554560487067,0.40897120737809023,0.9202527345693946
1982,4986763,1395,Fibonacci (6.25 km),49.26544570922852,10.022541046142578,0.5367583644840387,1.2790576013952168,0.4781652312000894,0.5510324457523981
1983,4986818,1359,Fibonacci (6.25 km),49.26617431640625,7.095518112182617,0.8272993414919755,1.714145416229851,0.881205403374083,1.6848787644653533
1984,4986852,1395,Fibonacci (6.25 km),49.2666244506836,11.831541061401367,1.6002775667420739,1.4814339768089482,1.3381002499157468,1.0810433796520238
1985,4986907,1359,Fibonacci (6.25 km),49.26735305786133,8.904518127441406,1.00768708102674,0.7070183998258484,0.6603085056667136,0.3536466309569403
1986,4986996,1395,Fibonacci (6.25 km),49.268531799316406,10.71351718902588,1.2605971688691728,1.904499470455014,0.6855599900923804,1.1761614320404512
1987,4987051,1359,Fibonacci (6.25 km),49.26925659179688,7.786494731903076,1.133353338663401,0.8206058184989315,2.413099043613403,0.6122321039453793
1988,4987085,1395,Fibonacci (6.25 km),49.26970672607422,12.522517204284668,0.48178199879525435,1.5503208239930486,0.28072100058528354,1.01573851809367
1989,4987140,1359,Fibonacci (6.25 km),49.27043533325195,9.595494270324709,0.11800371988841706,0.8386774706086074,0.198512747270556,0.3363120724393105
1990,4987195,1359,Fibonacci (6.25 km),49.27116394042969,6.668471336364746,-0.7122676051975212,1.3634665099603402,-0.21660907282834505,0.7919407852409933
1991,4987229,1395,Fibonacci (6.25 km),49.27161407470703,11.40449333190918,2.3334148499014824,2.069024084888744,2.030716199899961,1.1907866745355458
1992,4987284,1359,Fibonacci (6.25 km),49.272342681884766,8.477471351623535,1.029589738369367,1.27462535268009,0.9813277857936239,0.8140288739633527
1993,4987373,1395,Fibonacci (6.25 km),49.27352142333984,10.286470413208008,1.1026496340860399,1.5892561074456841,0.8112840519377887,0.7689332052292404
1994,4987428,1359,Fibonacci (6.25 km),49.27425003051758,7.359447956085205,0.3876134403144887,1.4483154538561245,0.83767440280324,0.7914007185113886
1995,4987462,1395,Fibonacci (6.25 km),49.27470016479492,12.095470428466797,1.3221234828984116,1.3876444442392368,1.0319890462418666,1.0951462401404997
1996,4987517,1359,Fibonacci (6.25 km),49.275428771972656,9.168447494506836,0.35438571071075875,0.8400805358654575,0.1984294840342767,0.31237186416778034
1997,4987606,1395,Fibonacci (6.25 km),49.27660751342773,10.977446556091309,1.1202845918087945,1.7194265364885484,0.9519903219838629,1.1513266822425203
1998,4987661,1359,Fibonacci (6.25 km),49.27733612060547,8.050424575805664,1.2141495826860274,1.1712926398630306,2.0229981596708573,0.8559861510538017
1999,4987695,1395,Fibonacci (6.25 km),49.27778625488281,12.786446571350098,0.31599865713787956,1.7082536187313753,0.5467714770263967,1.2210426393666232
2000,4987750,1359,Fibonacci (6.25 km),49.27851486206055,9.859423637390137,0.1823451176111709,0.9466289199787454,0.27993145745982567,0.3781079969740191
2001,4987805,1359,Fibonacci (6.25 km),49.27924346923828,6.932400703430176,-0.5752597311083881,1.3497902131906978,-0.11809446327679617,0.812782115450716
